LAW_CAT_CD,year,month,cnt
FELONY,2018,01,11530
MISDEMEANOR,2018,01,21213
VIOLATION,2018,01,5547
FELONY,2018,02,10317
MISDEMEANOR,2018,02,19376
VIOLATION,2018,02,5232
FELONY,2018,03,11260
MISDEMEANOR,2018,03,20833
VIOLATION,2018,03,5665
FELONY,2018,04,11088
MISDEMEANOR,2018,04,21060
VIOLATION,2018,04,5746
FELONY,2018,05,12587
MISDEMEANOR,2018,05,22358
VIOLATION,2018,05,6662
FELONY,2018,06,12455
MISDEMEANOR,2018,06,21724
VIOLATION,2018,06,6284
FELONY,2018,07,12969
MISDEMEANOR,2018,07,23057
VIOLATION,2018,07,6467
FELONY,2018,08,13167
MISDEMEANOR,2018,08,22661
VIOLATION,2018,08,6343
FELONY,2018,09,12329
MISDEMEANOR,2018,09,21340
VIOLATION,2018,09,6422
FELONY,2018,10,12850
MISDEMEANOR,2018,10,21447
VIOLATION,2018,10,6351
FELONY,2018,11,12320
MISDEMEANOR,2018,11,20316
VIOLATION,2018,11,5681
FELONY,2018,12,14698
MISDEMEANOR,2018,12,22592
VIOLATION,2018,12,6172
FELONY,2019,01,10910
MISDEMEANOR,2019,01,19630
VIOLATION,2019,01,5499
FELONY,2019,02,9571
MISDEMEANOR,2019,02,17286
VIOLATION,2019,02,4997
FELONY,2019,03,10818
MISDEMEANOR,2019,03,19752
VIOLATION,2019,03,5826
FELONY,2019,04,10843
MISDEMEANOR,2019,04,19532
VIOLATION,2019,04,6005
FELONY,2019,05,12099
MISDEMEANOR,2019,05,21579
VIOLATION,2019,05,6498
FELONY,2019,06,12258
MISDEMEANOR,2019,06,21234
VIOLATION,2019,06,6435
FELONY,2019,07,13194
MISDEMEANOR,2019,07,22678
VIOLATION,2019,07,6442
FELONY,2019,08,12991
MISDEMEANOR,2019,08,21622
VIOLATION,2019,08,6325
FELONY,2019,09,12559
MISDEMEANOR,2019,09,21427
VIOLATION,2019,09,6297
FELONY,2019,10,12548
MISDEMEANOR,2019,10,20985
VIOLATION,2019,10,6211
FELONY,2019,11,11538
MISDEMEANOR,2019,11,19503
VIOLATION,2019,11,5874
FELONY,2019,12,11262
MISDEMEANOR,2019,12,19435
VIOLATION,2019,12,5880
FELONY,2020,01,12060
MISDEMEANOR,2020,01,20373
VIOLATION,2020,01,6000
FELONY,2020,02,11010
MISDEMEANOR,2020,02,18598
VIOLATION,2020,02,5722
FELONY,2020,03,10100
MISDEMEANOR,2020,03,16850
VIOLATION,2020,03,5470
FELONY,2020,04,7890
MISDEMEANOR,2020,04,12809
VIOLATION,2020,04,4067
FELONY,2020,05,10014
MISDEMEANOR,2020,05,16931
VIOLATION,2020,05,5031
FELONY,2020,06,10634
MISDEMEANOR,2020,06,16274
VIOLATION,2020,06,5542
FELONY,2020,07,11176
MISDEMEANOR,2020,07,17929
VIOLATION,2020,07,6211
FELONY,2020,08,12375
MISDEMEANOR,2020,08,18555
VIOLATION,2020,08,6267
FELONY,2020,09,12153
MISDEMEANOR,2020,09,17634
VIOLATION,2020,09,5864
FELONY,2020,10,12183
MISDEMEANOR,2020,10,18630
VIOLATION,2020,10,5953
FELONY,2020,11,11214
MISDEMEANOR,2020,11,17334
VIOLATION,2020,11,5407
FELONY,2020,12,9985
MISDEMEANOR,2020,12,15710
VIOLATION,2020,12,4937